Train Model: ResNet, Using device cuda:0

Accuracy for class cwx   is: 7.8 %
Accuracy for class hdx   is: 31.3 %
Accuracy for class mtx   is: 0.0 %
Accuracy for class nqx   is: 0.0 %
Accuracy for class nzx   is: 21.3 %
Accuracy for class qtx   is: 0.0 %
Accuracy for class sjx   is: 12.5 %
Accuracy for class zxx   is: 3.6 %

========== Train Epoch 7 ==========
Loss: 2.058	Accuracy: 21 %
Accuracy for class bzx   is: 66.0 %
Accuracy for class cwx   is: 11.7 %
Accuracy for class hdx   is: 27.3 %
Accuracy for class mtx   is: 0.0 %
Accuracy for class nqx   is: 0.9 %
Accuracy for class nzx   is: 35.2 %
Accuracy for class qtx   is: 6.7 %
Accuracy for class sjx   is: 21.9 %
Accuracy for class zxx   is: 28.6 %

========== Train Epoch 8 ==========
Loss: 1.972	Accuracy: 22 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 2.9 %
Accuracy for class hdx   is: 1.0 %
Accuracy for class mtx   is: 2.6 %
Accuracy for class nqx   is: 4.6 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 12.5 %
Accuracy for class sjx   is: 29.2 %
Accuracy for class zxx   is: 26.8 %

========== Train Epoch 9 ==========
Loss: 1.918	Accuracy: 26 %
Accuracy for class bzx   is: 47.2 %
Accuracy for class cwx   is: 1.0 %
Accuracy for class hdx   is: 30.3 %
Accuracy for class mtx   is: 29.3 %
Accuracy for class nqx   is: 22.9 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 0.0 %
Accuracy for class sjx   is: 31.2 %
Accuracy for class zxx   is: 19.6 %

========== Train Epoch 10 ==========
Loss: 1.812	Accuracy: 29 %
Accuracy for class bzx   is: 48.1 %
Accuracy for class cwx   is: 32.0 %
Accuracy for class hdx   is: 11.1 %
Accuracy for class mtx   is: 34.5 %
Accuracy for class nqx   is: 3.7 %
Accuracy for class nzx   is: 39.8 %
Accuracy for class qtx   is: 24.2 %
Accuracy for class sjx   is: 47.9 %
Accuracy for class zxx   is: 27.7 %

========== Train Epoch 11 ==========
Loss: 1.723	Accuracy: 29 %
Accuracy for class bzx   is: 50.9 %
Accuracy for class cwx   is: 2.9 %
Accuracy for class hdx   is: 26.3 %
Accuracy for class mtx   is: 11.2 %
Accuracy for class nqx   is: 25.7 %
Accuracy for class nzx   is: 53.7 %
Accuracy for class qtx   is: 28.3 %
Accuracy for class sjx   is: 31.2 %
Accuracy for class zxx   is: 38.4 %

========== Train Epoch 12 ==========
Loss: 1.632	Accuracy: 32 %
Accuracy for class bzx   is: 31.1 %
Accuracy for class cwx   is: 10.7 %
Accuracy for class hdx   is: 12.1 %
Accuracy for class mtx   is: 1.7 %
Accuracy for class nqx   is: 54.1 %
Accuracy for class nzx   is: 64.8 %
Accuracy for class qtx   is: 39.2 %
Accuracy for class sjx   is: 42.7 %
Accuracy for class zxx   is: 37.5 %

========== Train Epoch 13 ==========
Loss: 1.567	Accuracy: 35 %
Accuracy for class bzx   is: 34.9 %
Accuracy for class cwx   is: 13.6 %
Accuracy for class hdx   is: 26.3 %
Accuracy for class mtx   is: 8.6 %
Accuracy for class nqx   is: 53.2 %
Accuracy for class nzx   is: 51.9 %
Accuracy for class qtx   is: 35.8 %
Accuracy for class sjx   is: 59.4 %
Accuracy for class zxx   is: 37.5 %

========== Train Epoch 14 ==========
Loss: 1.495	Accuracy: 37 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 25.2 %
Accuracy for class hdx   is: 24.2 %
Accuracy for class mtx   is: 25.0 %
Accuracy for class nqx   is: 13.8 %
Accuracy for class nzx   is: 67.6 %
Accuracy for class qtx   is: 33.3 %
Accuracy for class sjx   is: 44.8 %
Accuracy for class zxx   is: 44.6 %

========== Train Epoch 15 ==========
Loss: 1.322	Accuracy: 41 %
Accuracy for class bzx   is: 67.0 %
Accuracy for class cwx   is: 26.2 %
Accuracy for class hdx   is: 28.3 %
Accuracy for class mtx   is: 18.1 %
Accuracy for class nqx   is: 31.2 %
Accuracy for class nzx   is: 57.4 %
Accuracy for class qtx   is: 50.0 %
Accuracy for class sjx   is: 59.4 %
Accuracy for class zxx   is: 34.8 %

========== Train Epoch 16 ==========
Loss: 1.288	Accuracy: 41 %
Accuracy for class bzx   is: 50.0 %
Accuracy for class cwx   is: 14.6 %
Accuracy for class hdx   is: 21.2 %
Accuracy for class mtx   is: 46.6 %
Accuracy for class nqx   is: 33.0 %
Accuracy for class nzx   is: 51.9 %
Accuracy for class qtx   is: 41.7 %
Accuracy for class sjx   is: 72.9 %
Accuracy for class zxx   is: 39.3 %

========== Train Epoch 17 ==========
Loss: 1.190	Accuracy: 43 %
Accuracy for class bzx   is: 51.9 %
Accuracy for class cwx   is: 35.0 %
Accuracy for class hdx   is: 57.6 %
Accuracy for class mtx   is: 41.4 %
Accuracy for class nqx   is: 5.5 %
Accuracy for class nzx   is: 59.3 %
Accuracy for class qtx   is: 37.5 %
Accuracy for class sjx   is: 71.9 %
Accuracy for class zxx   is: 36.6 %

========== Train Epoch 18 ==========
Loss: 1.097	Accuracy: 41 %
Accuracy for class bzx   is: 38.7 %
Accuracy for class cwx   is: 23.3 %
Accuracy for class hdx   is: 38.4 %
Accuracy for class mtx   is: 44.8 %
Accuracy for class nqx   is: 21.1 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 47.5 %
Accuracy for class sjx   is: 56.2 %
Accuracy for class zxx   is: 42.0 %

========== Train Epoch 19 ==========
Loss: 1.003	Accuracy: 44 %
Accuracy for class bzx   is: 55.7 %
Accuracy for class cwx   is: 16.5 %
Accuracy for class hdx   is: 57.6 %
Accuracy for class mtx   is: 52.6 %
Accuracy for class nqx   is: 18.3 %
Accuracy for class nzx   is: 68.5 %
Accuracy for class qtx   is: 30.8 %
Accuracy for class sjx   is: 55.2 %
Accuracy for class zxx   is: 51.8 %

========== Train Epoch 20 ==========
Loss: 0.901	Accuracy: 46 %
Accuracy for class bzx   is: 67.0 %
Accuracy for class cwx   is: 23.3 %
Accuracy for class hdx   is: 52.5 %
Accuracy for class mtx   is: 27.6 %
Accuracy for class nqx   is: 38.5 %
Accuracy for class nzx   is: 57.4 %
Accuracy for class qtx   is: 42.5 %
Accuracy for class sjx   is: 62.5 %
Accuracy for class zxx   is: 50.9 %

========== Train Epoch 21 ==========
Loss: 0.750	Accuracy: 48 %
Accuracy for class bzx   is: 54.7 %
Accuracy for class cwx   is: 27.2 %
Accuracy for class hdx   is: 41.4 %
Accuracy for class mtx   is: 54.3 %
Accuracy for class nqx   is: 50.5 %
Accuracy for class nzx   is: 56.5 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 53.1 %
Accuracy for class zxx   is: 39.3 %

========== Train Epoch 22 ==========
Loss: 0.695	Accuracy: 51 %
Accuracy for class bzx   is: 57.5 %
Accuracy for class cwx   is: 30.1 %
Accuracy for class hdx   is: 60.6 %
Accuracy for class mtx   is: 44.0 %
Accuracy for class nqx   is: 42.2 %
Accuracy for class nzx   is: 52.8 %
Accuracy for class qtx   is: 60.0 %
Accuracy for class sjx   is: 66.7 %
Accuracy for class zxx   is: 54.5 %

========== Train Epoch 23 ==========
Loss: 0.568	Accuracy: 48 %
Accuracy for class bzx   is: 45.3 %
Accuracy for class cwx   is: 39.8 %
Accuracy for class hdx   is: 56.6 %
Accuracy for class mtx   is: 41.4 %
Accuracy for class nqx   is: 35.8 %
Accuracy for class nzx   is: 58.3 %
Accuracy for class qtx   is: 49.2 %
Accuracy for class sjx   is: 70.8 %
Accuracy for class zxx   is: 42.0 %

========== Train Epoch 24 ==========
Loss: 0.470	Accuracy: 54 %
Accuracy for class bzx   is: 66.0 %
Accuracy for class cwx   is: 44.7 %
Accuracy for class hdx   is: 55.6 %
Accuracy for class mtx   is: 47.4 %
Accuracy for class nqx   is: 35.8 %
Accuracy for class nzx   is: 59.3 %
Accuracy for class qtx   is: 51.7 %
Accuracy for class sjx   is: 80.2 %
Accuracy for class zxx   is: 50.9 %

========== Train Epoch 25 ==========
Loss: 0.470	Accuracy: 52 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 40.8 %
Accuracy for class hdx   is: 42.4 %
Accuracy for class mtx   is: 32.8 %
Accuracy for class nqx   is: 45.9 %
Accuracy for class nzx   is: 60.2 %
Accuracy for class qtx   is: 61.7 %
Accuracy for class sjx   is: 72.9 %
Accuracy for class zxx   is: 53.6 %

========== Train Epoch 26 ==========
Loss: 0.342	Accuracy: 55 %
Accuracy for class bzx   is: 57.5 %
Accuracy for class cwx   is: 46.6 %
Accuracy for class hdx   is: 51.5 %
Accuracy for class mtx   is: 60.3 %
Accuracy for class nqx   is: 40.4 %
Accuracy for class nzx   is: 71.3 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 66.7 %
Accuracy for class zxx   is: 48.2 %

========== Train Epoch 27 ==========
Loss: 0.307	Accuracy: 55 %
Accuracy for class bzx   is: 67.9 %
Accuracy for class cwx   is: 52.4 %
Accuracy for class hdx   is: 56.6 %
Accuracy for class mtx   is: 49.1 %
Accuracy for class nqx   is: 41.3 %
Accuracy for class nzx   is: 54.6 %
Accuracy for class qtx   is: 57.5 %
Accuracy for class sjx   is: 64.6 %
Accuracy for class zxx   is: 56.2 %

========== Train Epoch 28 ==========
Loss: 0.321	Accuracy: 55 %
Accuracy for class bzx   is: 53.8 %
Accuracy for class cwx   is: 37.9 %
Accuracy for class hdx   is: 52.5 %
Accuracy for class mtx   is: 45.7 %
Accuracy for class nqx   is: 46.8 %
Accuracy for class nzx   is: 67.6 %
Accuracy for class qtx   is: 63.3 %
Accuracy for class sjx   is: 72.9 %
Accuracy for class zxx   is: 57.1 %

========== Train Epoch 29 ==========
Loss: 0.245	Accuracy: 55 %
Accuracy for class bzx   is: 71.7 %
Accuracy for class cwx   is: 55.3 %
Accuracy for class hdx   is: 43.4 %
Accuracy for class mtx   is: 46.6 %
Accuracy for class nqx   is: 45.0 %
Accuracy for class nzx   is: 69.4 %
Accuracy for class qtx   is: 56.7 %
Accuracy for class sjx   is: 59.4 %
Accuracy for class zxx   is: 50.0 %

========== Train Epoch 30 ==========
Loss: 0.175	Accuracy: 57 %
Accuracy for class bzx   is: 67.0 %
Accuracy for class cwx   is: 46.6 %
Accuracy for class hdx   is: 51.5 %
Accuracy for class mtx   is: 56.0 %
Accuracy for class nqx   is: 46.8 %
Accuracy for class nzx   is: 62.0 %
Accuracy for class qtx   is: 65.8 %
Accuracy for class sjx   is: 64.6 %
Accuracy for class zxx   is: 55.4 %

========== Train Epoch 31 ==========
Loss: 0.140	Accuracy: 58 %
Accuracy for class bzx   is: 68.9 %
Accuracy for class cwx   is: 54.4 %
Accuracy for class hdx   is: 66.7 %
Accuracy for class mtx   is: 35.3 %
Accuracy for class nqx   is: 53.2 %
Accuracy for class nzx   is: 69.4 %
Accuracy for class qtx   is: 60.0 %
Accuracy for class sjx   is: 54.2 %
Accuracy for class zxx   is: 62.5 %

========== Train Epoch 32 ==========
Loss: 0.127	Accuracy: 57 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 49.5 %
Accuracy for class hdx   is: 53.5 %
Accuracy for class mtx   is: 52.6 %
Accuracy for class nqx   is: 52.3 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 55.8 %
Accuracy for class sjx   is: 62.5 %
Accuracy for class zxx   is: 64.3 %

========== Train Epoch 33 ==========
Loss: 0.132	Accuracy: 55 %
Accuracy for class bzx   is: 68.9 %
Accuracy for class cwx   is: 46.6 %
Accuracy for class hdx   is: 54.5 %
Accuracy for class mtx   is: 44.8 %
Accuracy for class nqx   is: 51.4 %
Accuracy for class nzx   is: 58.3 %
Accuracy for class qtx   is: 53.3 %
Accuracy for class sjx   is: 70.8 %
Accuracy for class zxx   is: 54.5 %

========== Train Epoch 34 ==========
Loss: 0.119	Accuracy: 56 %
Accuracy for class bzx   is: 56.6 %
Accuracy for class cwx   is: 54.4 %
Accuracy for class hdx   is: 54.5 %
Accuracy for class mtx   is: 52.6 %
Accuracy for class nqx   is: 55.0 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 52.5 %
Accuracy for class sjx   is: 75.0 %
Accuracy for class zxx   is: 51.8 %

========== Train Epoch 35 ==========
Loss: 0.118	Accuracy: 52 %
