Train Model: LeNet, Using device cuda:0

========== Train Epoch 1 ==========
Loss: 2.206	Accuracy: 9 %
Accurary for class bzx   is: 0.0 %
Accurary for class cwx   is: 0.0 %
Accurary for class hdx   is: 95.3 %
Accurary for class mtx   is: 0.0 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 0.0 %
Accurary for class sjx   is: 0.0 %
Accurary for class zxx   is: 1.2 %

========== Train Epoch 2 ==========
Loss: 2.181	Accuracy: 15 %
Accurary for class bzx   is: 5.7 %
Accurary for class cwx   is: 72.1 %
Accurary for class hdx   is: 0.0 %
Accurary for class mtx   is: 0.0 %
Accurary for class nqx   is: 0.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 47.9 %
Accurary for class sjx   is: 17.6 %
Accurary for class zxx   is: 0.0 %

========== Train Epoch 3 ==========
Loss: 2.105	Accuracy: 17 %
Accurary for class bzx   is: 48.7 %
Accurary for class cwx   is: 4.1 %
Accurary for class hdx   is: 2.0 %
Accurary for class mtx   is: 5.4 %
Accurary for class nqx   is: 3.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 8.6 %
Accurary for class sjx   is: 93.5 %
Accurary for class zxx   is: 0.6 %

========== Train Epoch 4 ==========
Loss: 1.929	Accuracy: 23 %
Accurary for class bzx   is: 19.0 %
Accurary for class cwx   is: 56.5 %
Accurary for class hdx   is: 6.7 %
Accurary for class mtx   is: 0.0 %
Accurary for class nqx   is: 2.4 %
Accurary for class nzx   is: 31.4 %
Accurary for class qtx   is: 44.8 %
Accurary for class sjx   is: 0.0 %
Accurary for class zxx   is: 53.3 %

========== Train Epoch 5 ==========
Loss: 1.781	Accuracy: 29 %
Accurary for class bzx   is: 27.8 %
Accurary for class cwx   is: 31.3 %
Accurary for class hdx   is: 16.1 %
Accurary for class mtx   is: 46.7 %
Accurary for class nqx   is: 4.2 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 25.2 %
Accurary for class sjx   is: 63.4 %
Accurary for class zxx   is: 52.1 %

========== Train Epoch 6 ==========
Loss: 1.631	Accuracy: 34 %
Accurary for class bzx   is: 22.8 %
Accurary for class cwx   is: 66.7 %
Accurary for class hdx   is: 20.8 %
Accurary for class mtx   is: 19.0 %
Accurary for class nqx   is: 6.0 %
Accurary for class nzx   is: 0.0 %
Accurary for class qtx   is: 44.2 %
Accurary for class sjx   is: 71.9 %
Accurary for class zxx   is: 63.0 %

========== Train Epoch 7 ==========
Loss: 1.465	Accuracy: 41 %
Accurary for class bzx   is: 45.6 %
Accurary for class cwx   is: 45.6 %
Accurary for class hdx   is: 26.2 %
Accurary for class mtx   is: 37.0 %
Accurary for class nqx   is: 4.2 %
Accurary for class nzx   is: 22.7 %
Accurary for class qtx   is: 49.7 %
Accurary for class sjx   is: 67.3 %
Accurary for class zxx   is: 77.0 %

========== Train Epoch 8 ==========
Loss: 1.326	Accuracy: 46 %
Accurary for class bzx   is: 59.5 %
Accurary for class cwx   is: 42.9 %
Accurary for class hdx   is: 41.6 %
Accurary for class mtx   is: 16.8 %
Accurary for class nqx   is: 24.6 %
Accurary for class nzx   is: 50.6 %
Accurary for class qtx   is: 56.4 %
Accurary for class sjx   is: 54.9 %
Accurary for class zxx   is: 77.6 %

========== Train Epoch 9 ==========
Loss: 1.184	Accuracy: 54 %
Accurary for class bzx   is: 62.7 %
Accurary for class cwx   is: 67.3 %
Accurary for class hdx   is: 49.7 %
Accurary for class mtx   is: 34.8 %
Accurary for class nqx   is: 37.7 %
Accurary for class nzx   is: 57.6 %
Accurary for class qtx   is: 55.8 %
Accurary for class sjx   is: 65.4 %
Accurary for class zxx   is: 64.8 %

========== Train Epoch 10 ==========
Loss: 1.032	Accuracy: 55 %
Accurary for class bzx   is: 67.7 %
Accurary for class cwx   is: 57.8 %
Accurary for class hdx   is: 41.6 %
Accurary for class mtx   is: 48.9 %
Accurary for class nqx   is: 39.5 %
Accurary for class nzx   is: 83.1 %
Accurary for class qtx   is: 54.0 %
Accurary for class sjx   is: 54.9 %
Accurary for class zxx   is: 52.1 %

========== Train Epoch 11 ==========
Loss: 0.929	Accuracy: 62 %
Accurary for class bzx   is: 70.9 %
Accurary for class cwx   is: 49.0 %
Accurary for class hdx   is: 63.8 %
Accurary for class mtx   is: 52.7 %
Accurary for class nqx   is: 46.7 %
Accurary for class nzx   is: 81.4 %
Accurary for class qtx   is: 61.3 %
Accurary for class sjx   is: 60.8 %
Accurary for class zxx   is: 73.9 %

========== Train Epoch 12 ==========
Loss: 0.768	Accuracy: 63 %
Accurary for class bzx   is: 63.9 %
Accurary for class cwx   is: 61.2 %
Accurary for class hdx   is: 70.5 %
Accurary for class mtx   is: 50.0 %
Accurary for class nqx   is: 55.1 %
Accurary for class nzx   is: 82.0 %
Accurary for class qtx   is: 59.5 %
Accurary for class sjx   is: 62.7 %
Accurary for class zxx   is: 69.7 %

========== Train Epoch 13 ==========
Loss: 0.656	Accuracy: 69 %
Accurary for class bzx   is: 74.7 %
Accurary for class cwx   is: 67.3 %
Accurary for class hdx   is: 71.1 %
Accurary for class mtx   is: 57.6 %
Accurary for class nqx   is: 64.1 %
Accurary for class nzx   is: 82.0 %
Accurary for class qtx   is: 68.7 %
Accurary for class sjx   is: 72.5 %
Accurary for class zxx   is: 68.5 %

========== Train Epoch 14 ==========
Loss: 0.545	Accuracy: 69 %
Accurary for class bzx   is: 79.1 %
Accurary for class cwx   is: 57.1 %
Accurary for class hdx   is: 67.1 %
Accurary for class mtx   is: 58.2 %
Accurary for class nqx   is: 59.3 %
Accurary for class nzx   is: 83.1 %
Accurary for class qtx   is: 71.8 %
Accurary for class sjx   is: 71.2 %
Accurary for class zxx   is: 80.0 %

========== Train Epoch 15 ==========
Loss: 0.462	Accuracy: 71 %
Accurary for class bzx   is: 84.8 %
Accurary for class cwx   is: 59.9 %
Accurary for class hdx   is: 83.2 %
Accurary for class mtx   is: 66.8 %
Accurary for class nqx   is: 62.3 %
Accurary for class nzx   is: 80.2 %
Accurary for class qtx   is: 63.8 %
Accurary for class sjx   is: 64.1 %
Accurary for class zxx   is: 77.0 %

========== Train Epoch 16 ==========
Loss: 0.434	Accuracy: 73 %
Accurary for class bzx   is: 72.2 %
Accurary for class cwx   is: 63.9 %
Accurary for class hdx   is: 73.8 %
Accurary for class mtx   is: 70.1 %
Accurary for class nqx   is: 65.3 %
Accurary for class nzx   is: 87.8 %
Accurary for class qtx   is: 69.9 %
Accurary for class sjx   is: 79.7 %
Accurary for class zxx   is: 75.8 %

========== Train Epoch 17 ==========
Loss: 0.409	Accuracy: 74 %
Accurary for class bzx   is: 72.8 %
Accurary for class cwx   is: 77.6 %
Accurary for class hdx   is: 73.8 %
Accurary for class mtx   is: 68.5 %
Accurary for class nqx   is: 70.1 %
Accurary for class nzx   is: 84.3 %
Accurary for class qtx   is: 69.3 %
Accurary for class sjx   is: 76.5 %
Accurary for class zxx   is: 75.2 %

========== Train Epoch 18 ==========
Loss: 0.290	Accuracy: 72 %
Accurary for class bzx   is: 67.1 %
Accurary for class cwx   is: 70.1 %
Accurary for class hdx   is: 77.9 %
Accurary for class mtx   is: 56.0 %
Accurary for class nqx   is: 70.1 %
Accurary for class nzx   is: 84.9 %
Accurary for class qtx   is: 77.9 %
Accurary for class sjx   is: 76.5 %
Accurary for class zxx   is: 77.0 %

========== Train Epoch 19 ==========
Loss: 0.298	Accuracy: 74 %
Accurary for class bzx   is: 80.4 %
Accurary for class cwx   is: 79.6 %
Accurary for class hdx   is: 69.1 %
Accurary for class mtx   is: 61.4 %
Accurary for class nqx   is: 71.9 %
Accurary for class nzx   is: 89.0 %
Accurary for class qtx   is: 66.9 %
Accurary for class sjx   is: 73.2 %
Accurary for class zxx   is: 81.8 %

========== Train Epoch 20 ==========
Loss: 0.248	Accuracy: 73 %
Accurary for class bzx   is: 73.4 %
Accurary for class cwx   is: 70.7 %
Accurary for class hdx   is: 77.2 %
Accurary for class mtx   is: 58.2 %
Accurary for class nqx   is: 67.7 %
Accurary for class nzx   is: 87.8 %
Accurary for class qtx   is: 75.5 %
Accurary for class sjx   is: 74.5 %
Accurary for class zxx   is: 78.8 %

========== Train Epoch 21 ==========
Loss: 0.202	Accuracy: 76 %
Accurary for class bzx   is: 74.1 %
Accurary for class cwx   is: 75.5 %
Accurary for class hdx   is: 75.2 %
Accurary for class mtx   is: 67.4 %
Accurary for class nqx   is: 73.1 %
Accurary for class nzx   is: 87.2 %
Accurary for class qtx   is: 74.8 %
Accurary for class sjx   is: 77.8 %
Accurary for class zxx   is: 80.0 %

========== Train Epoch 22 ==========
Loss: 0.144	Accuracy: 76 %
Accurary for class bzx   is: 81.6 %
Accurary for class cwx   is: 75.5 %
Accurary for class hdx   is: 70.5 %
Accurary for class mtx   is: 70.7 %
Accurary for class nqx   is: 68.9 %
Accurary for class nzx   is: 87.2 %
Accurary for class qtx   is: 78.5 %
Accurary for class sjx   is: 73.2 %
Accurary for class zxx   is: 80.6 %

========== Train Epoch 23 ==========
Loss: 0.154	Accuracy: 73 %
Accurary for class bzx   is: 68.4 %
Accurary for class cwx   is: 72.1 %
Accurary for class hdx   is: 67.8 %
Accurary for class mtx   is: 66.8 %
Accurary for class nqx   is: 69.5 %
Accurary for class nzx   is: 84.9 %
Accurary for class qtx   is: 71.2 %
Accurary for class sjx   is: 76.5 %
Accurary for class zxx   is: 82.4 %

========== Train Epoch 24 ==========
Loss: 0.291	Accuracy: 76 %
